"Reference","Value","Datasheet","Footprint","Qty","DNP"
"U1","ATMEGA328P-PU","","ATMEGA328-PU:DIP787W46P254L3467H508Q28","1",""
"C1,C2,C3","100n","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","3",""
"D1","LED","~","LED_THT:LED_D5.0mm","1",""
"J1","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J2","Conn_01x08_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1",""
"LS1","Speaker","~","Buzzer_Beeper:Buzzer_15x7.5RM7.6","1",""
"R1","100K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R2","330","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R3","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"SW1","SW_Push","~","Button_Switch_THT:SW_PUSH_6mm_H7.3mm","1",""
"TH1","Thermistor_NTC","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"TP1","TestPoint","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","1",""
